"","post_id","count","dw_page_sk","dw_eff_dt","page_path_tx","conf_page_path_tx","page_hier_lvl1_nm","parent_page_sk","http_return_cd","nldt_type_cd","page_vertical_tx","dw_last_updt_ts","dw_load_ts","log_id","custom_id","blog_id","helpful_yn","message","ip_address","user_id","created_dt"
"1",3826,4,350851,2016-07-15,"blog/credit-cards/thinking-of-canceling-your-credit-cards-think-again","blog/credit-cards/thinking-of-canceling-your-credit-cards-think-again","Credit Cards",350851,200,"L","Credit Cards","2016-07-18 04:17:23","2015-08-20 08:18:08",155258,0,1,"yes","Good information.","96.249.241.179",0,2016-05-16
"2",3826,4,350851,2016-07-15,"blog/credit-cards/thinking-of-canceling-your-credit-cards-think-again","blog/credit-cards/thinking-of-canceling-your-credit-cards-think-again","Credit Cards",350851,200,"L","Credit Cards","2016-07-18 04:17:23","2015-08-20 08:18:08",155111,0,1,"no","Feels like an ad for the credit cards mentioned.","73.234.31.132",0,2016-05-16
"3",4850,6,366185,2016-07-15,"blog/credit-cards/charge-card-affect-credit-score","blog/credit-cards/charge-card-affect-credit-score","Credit Cards",366185,200,"D","Credit Cards","2016-07-18 04:17:23","2015-09-09 08:17:17",163594,0,1,"yes","The account manager at American Express didn&#039;t explain this to me....I closed the account with a pending balance...what will happen to my points I earned?...","166.172.63.238",0,2016-06-20
"4",4850,6,366185,2016-07-15,"blog/credit-cards/charge-card-affect-credit-score","blog/credit-cards/charge-card-affect-credit-score","Credit Cards",366185,200,"D","Credit Cards","2016-07-18 04:17:23","2015-09-09 08:17:17",163691,0,1,"no","American Express allowed me to carry a $14,000 balance that  accrued interest. (I was late once and they jacked it up to 29.9%) One of the ways I am paying it down was to transfer $6500 to a new $0 apr card. I maxed out my new credit line because I ($6500) as part of my pay down in a year plan by getting rid of Amex debt first then paying off the new card before the 0% apr promotion ends. Now however I&#039;m concerned that I&#039;ve maxed out all of my available credit and am hurting my credit score. Amex never gave me a limit and let me pay over time. If you know the answer please email me, jsagewalker@gmail.com","166.171.184.198",0,2016-06-21
"5",4850,6,366185,2016-07-15,"blog/credit-cards/charge-card-affect-credit-score","blog/credit-cards/charge-card-affect-credit-score","Credit Cards",366185,200,"D","Credit Cards","2016-07-18 04:17:23","2015-09-09 08:17:17",151808,0,1,"yes","No","174.61.107.6",0,2016-05-04
"6",4850,6,366185,2016-07-15,"blog/credit-cards/charge-card-affect-credit-score","blog/credit-cards/charge-card-affect-credit-score","Credit Cards",366185,200,"D","Credit Cards","2016-07-18 04:17:23","2015-09-09 08:17:17",158405,0,1,"yes","No","108.5.128.208",0,2016-06-03
"7",4850,6,366185,2016-07-15,"blog/credit-cards/charge-card-affect-credit-score","blog/credit-cards/charge-card-affect-credit-score","Credit Cards",366185,200,"D","Credit Cards","2016-07-18 04:17:23","2015-09-09 08:17:17",157684,0,1,"yes","Even gave me a rec on the card I was considering","104.185.206.152",0,2016-06-01
"8",4850,6,366185,2016-07-15,"blog/credit-cards/charge-card-affect-credit-score","blog/credit-cards/charge-card-affect-credit-score","Credit Cards",366185,200,"D","Credit Cards","2016-07-18 04:17:23","2015-09-09 08:17:17",160997,0,1,"yes","American express is the best.","97.93.238.66",0,2016-06-12
"9",6698,1,345089,2016-07-15,"blog/credit-cards/charge-card-credit-card","blog/credit-cards/charge-card-credit-card","Credit Cards",345089,200,"L","Credit Cards","2016-07-18 04:17:23","2015-07-23 08:16:19",163899,0,1,"yes","No. Well, at least not now. It&#039;s excellent.","172.56.37.140",0,2016-06-21
"10",7081,3,350627,2016-07-15,"blog/credit-cards/history-credit-card","blog/credit-cards/history-credit-card","Credit Cards",350627,200,"N","Credit Cards","2016-07-18 04:17:23","2015-08-20 08:18:08",159676,0,1,"no","made no sense at all you wasted your time buddy!!!\n","170.235.245.54",0,2016-06-07
"11",7081,3,350627,2016-07-15,"blog/credit-cards/history-credit-card","blog/credit-cards/history-credit-card","Credit Cards",350627,200,"N","Credit Cards","2016-07-18 04:17:23","2015-08-20 08:18:08",159553,0,1,"no","What date was it invented?","71.197.192.221",0,2016-06-07
"12",7081,3,350627,2016-07-15,"blog/credit-cards/history-credit-card","blog/credit-cards/history-credit-card","Credit Cards",350627,200,"N","Credit Cards","2016-07-18 04:17:23","2015-08-20 08:18:08",157239,0,1,"no","evrtyytjrklgnjlskdgh;","99.248.95.28",0,2016-05-30
"13",9637,5,353669,2016-07-15,"blog/credit-cards/netfirstplatinum-com-credit-card-scam","blog/credit-cards/netfirstplatinum-com-credit-card-scam","Credit Cards",353669,200,"L","Credit Cards","2016-07-18 04:17:23","2015-08-29 09:18:58",163831,0,1,"yes","Thank you! My credit score is low and money is tight. I was feeling a little desperate so I googled away. Came across Netfirst Platnum. I&#039;m so glad nerd wallet is out there for people like me!/!","66.193.108.235",0,2016-06-21
"14",9637,5,353669,2016-07-15,"blog/credit-cards/netfirstplatinum-com-credit-card-scam","blog/credit-cards/netfirstplatinum-com-credit-card-scam","Credit Cards",353669,200,"L","Credit Cards","2016-07-18 04:17:23","2015-08-29 09:18:58",157793,0,1,"yes","These companies are ridiculous ....get your refund and tell them to get lost!","66.87.80.211",0,2016-06-01
"15",12128,2,390646,2016-07-15,"blog/credit-cards/gap-credit-card-visa","blog/credit-cards/gap-credit-card-visa","Credit Cards",390646,200,"D","Credit Cards","2016-07-18 04:17:23","2015-12-22 08:37:51",157669,0,1,"no","The information is not up to date.","172.56.10.226",0,2016-06-01
"16",12607,5,350483,2016-07-15,"blog/credit-cards/bankruptcy-credit-card-scams","blog/credit-cards/bankruptcy-credit-card-scams","Credit Cards",350483,200,"L","Credit Cards","2016-07-18 04:17:23","2015-08-19 08:14:59",157243,0,1,"yes","no, but this information was very helpful - almost applied for the Horizon Gold - Thanks very much !!!!","75.67.176.185",0,2016-05-30
"17",12607,5,350483,2016-07-15,"blog/credit-cards/bankruptcy-credit-card-scams","blog/credit-cards/bankruptcy-credit-card-scams","Credit Cards",350483,200,"L","Credit Cards","2016-07-18 04:17:23","2015-08-19 08:14:59",161383,0,1,"yes","I am grateful for the knowledge. Because, I was going to apply for Horizon Gold credit card. Very appreciative for this blog.","184.21.109.64",0,2016-06-13
"18",12607,5,350483,2016-07-15,"blog/credit-cards/bankruptcy-credit-card-scams","blog/credit-cards/bankruptcy-credit-card-scams","Credit Cards",350483,200,"L","Credit Cards","2016-07-18 04:17:23","2015-08-19 08:14:59",158940,0,1,"yes","Keep the information coming !","174.58.202.254",0,2016-06-04
"19",12607,5,350483,2016-07-15,"blog/credit-cards/bankruptcy-credit-card-scams","blog/credit-cards/bankruptcy-credit-card-scams","Credit Cards",350483,200,"L","Credit Cards","2016-07-18 04:17:23","2015-08-19 08:14:59",162806,0,1,"yes","Very helpful","172.56.22.56",0,2016-06-18
"20",14745,1,371974,2016-07-15,"blog/credit-cards/2-cash-worth","blog/credit-cards/2-cash-worth","Credit Cards",371974,200,"L","Credit Cards","2016-07-18 04:17:23","2015-09-18 17:35:42",154291,0,1,"yes","BCP","99.137.8.221",0,2016-05-13
"21",20080,7,390264,2016-07-15,"blog/credit-cards/elan-credit-cards","blog/credit-cards/elan-credit-cards","Credit Cards",390264,200,"N","Credit Cards","2016-07-18 04:17:23","2015-12-17 08:41:23",156584,0,1,"no","What bank sponsors Elan?","174.68.84.172",0,2016-05-27
"22",20080,7,390264,2016-07-15,"blog/credit-cards/elan-credit-cards","blog/credit-cards/elan-credit-cards","Credit Cards",390264,200,"N","Credit Cards","2016-07-18 04:17:23","2015-12-17 08:41:23",156555,0,1,"no","not enough detail on Elan as a company.","73.153.231.65",0,2016-05-27
"23",20080,7,390264,2016-07-15,"blog/credit-cards/elan-credit-cards","blog/credit-cards/elan-credit-cards","Credit Cards",390264,200,"N","Credit Cards","2016-07-18 04:17:23","2015-12-17 08:41:23",160901,0,1,"no","Is Elan a US bank?  Will I be talking to someone overseas if these is an issue.  If an issue arises on Saturday, do I have to wait until Monday to get it resolved?","69.207.63.201",0,2016-06-11
"24",20080,7,390264,2016-07-15,"blog/credit-cards/elan-credit-cards","blog/credit-cards/elan-credit-cards","Credit Cards",390264,200,"N","Credit Cards","2016-07-18 04:17:23","2015-12-17 08:41:23",161304,0,1,"yes","Great explanation\n","73.164.64.15",0,2016-06-13
"25",20574,8,396796,2016-07-15,"blog/banking/accountnow-prepaid-debit","blog/banking/accountnow-prepaid-debit","Banking",396796,200,"L","Banking","2016-07-18 04:17:23","2016-02-06 06:07:37",146268,0,1,"no","FRUADGELENT ACTIVITY ...MY CARD WAS CANCELED THAT I RECIEVED WITH MY INCOME TAX RETURNS AND ANOTHER CARD WAS ISSUSED AND SENT TO A ADDRESS THAT I NEVER HEARD OF IN YUBA CITY . MY CURRENT ADDRESS IS 42 COLLEGEE WOODLAND CA 95696,I REPORTED THIS ACTIVITY ON4]21]16 TO ACCOUNT NOW FAXED THEM THE INFORMATION THEY REQUESTED . I HAVE A ACCOUNT NOW CARD ENDING IN 5127 IN MY POSSISION  AND WOULD LIKE THEM TO RELEASE THAT MONEY ON THAT CARD","108.237.127.27",0,2016-04-27
"26",20574,8,396796,2016-07-15,"blog/banking/accountnow-prepaid-debit","blog/banking/accountnow-prepaid-debit","Banking",396796,200,"L","Banking","2016-07-18 04:17:23","2016-02-06 06:07:37",163612,0,1,"yes","Thank you so much for writing this and the warning about accoutnow, I almost signed up for the gold card until I looked up the reviews on google and read this article. Thank you for saving my hard-earned cash from being stolen from me.","184.1.9.222",0,2016-06-20
"27",20574,8,396796,2016-07-15,"blog/banking/accountnow-prepaid-debit","blog/banking/accountnow-prepaid-debit","Banking",396796,200,"L","Banking","2016-07-18 04:17:23","2016-02-06 06:07:37",157979,0,1,"yes","I don&#039;t like them they eat up all ur money u Earned I think I&#039;m going to leave them","174.21.44.182",0,2016-06-02
