post_id,count,dw_page_sk,dw_eff_dt,page_path_tx,conf_page_path_tx,page_hier_lvl1_nm,parent_page_sk,http_return_cd,nldt_type_cd,page_vertical_tx,dw_last_updt_ts,dw_load_ts
"7474","3","68","2011-07-29","blog/2011/medical-credit-card-proceed-caution","blog/2011/medical-credit-card-proceed-caution","Health","68","301","L","Health","2016-07-18 04:17:23","2015-03-07 03:51:35"
"20574","8","162147","2011-07-30","blog/2011/accountnow-prepaid-debit","blog/2011/accountnow-prepaid-debit","Banking","162147","301","L","Banking","2016-07-18 04:17:23","2015-03-07 03:51:35"
"137657","1","367936","2012-02-01","blog/investing/left-job-rollover-401k-ira","blog/investing/left-job-rollover-401k-ira","Investing","367936","200","L","Investing","2016-07-18 04:17:23","2015-09-12 08:24:13"
"20574","8","157750","2012-06-25","blog/blog/2011/06/21/accountnow-prepaid-debit","blog/blog/2011/06/21/accountnow-prepaid-debit","Banking","157750","301","L","Banking","2016-07-18 04:17:23","2015-03-07 03:51:35"
"20574","8","597564","2012-06-27","blog/blog/2011/accountnow-prepaid-debit","blog/blog/2011/accountnow-prepaid-debit","Banking","597564","301","L","Banking","2016-07-18 04:17:23","2016-06-01 18:09:10"
"142522","1","144957","2012-09-20","blog/markets/2012/investing-101-framework-investing-invest","blog/markets/2012/investing-101-framework-investing-invest","Investing","144957","301","L","Investing","2016-07-18 04:17:23","2015-03-07 03:51:35"
"142921","1","372682","2013-01-30","blog/investing/green-investing-corporations-large-small-sustainable-measures-save-money-reducing-impact","blog/investing/green-investing-corporations-large-small-sustainable-measures-save-money-reducing-impact","Investing","372682","200","L","Investing","2016-07-18 04:17:23","2015-09-18 17:35:42"
"137716","11","598730","2013-02-20","blog/fianace/2012/save-money-putting-solar-panels-roof","blog/fianace/2012/save-money-putting-solar-panels-roof","Personal Finance","598730","301","L","Personal Finance","2016-07-18 04:17:23","2016-06-01 18:09:10"
"26544","1","58351","2011-11-03","blog/2011/paper-plastic-exchange-gift-cards-cash-cardpool","blog/2011/paper-plastic-exchange-gift-cards-cash-cardpool","Credit Cards","58351","301","D","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"137716","11","78557","2014-03-27","blog/finance/money-nerd/green-living/save-money-putting-solar-panels-roof","blog/finance/money-nerd/green-living/save-money-putting-solar-panels-roof","Personal Finance","78557","301","L","Personal Finance","2016-07-18 04:17:23","2015-03-07 03:51:35"
"63484","3","7865","2014-04-01","blog/tips/pay-rent-credit-card","blog/tips/pay-rent-credit-card","Credit Cards","7865","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"70439","1","1071","2014-04-09","blog/tips/opening-joint-credit-card-account","blog/tips/opening-joint-credit-card-account","Credit Cards","1071","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"29119","1","69055","2012-01-23","blog/2012/bp-credit-card-rewards-bad-asno","blog/2012/bp-credit-card-rewards-bad-asno","Credit Cards","69055","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"155815","3","599344","2014-06-09","blog/insurance/2014/07/09/true-cost-speeding-ticket-texas-insurance-increases","blog/insurance/2014/07/09/true-cost-speeding-ticket-texas-insurance-increases","Insurance","599344","301","N","Insurance","2016-07-18 04:17:23","2016-06-01 18:09:10"
"179132","10","599152","2014-09-22","blog/health/2014/05/09/how-much-does-a-filling-cost","blog/health/2014/05/09/how-much-does-a-filling-cost","Health","599152","301","L","Health","2016-07-18 04:17:23","2016-06-01 18:09:10"
"155892","1","33589","2014-11-03","blog/insurance/2014/11/03/best-life-insurance-policy-veterans","blog/insurance/2014/11/03/best-life-insurance-policy-veterans","Insurance","33589","301","N","Insurance","2016-07-18 04:17:23","2015-03-07 03:51:35"
"92773","9","141990","2014-12-18","blog/tips/no-credit-history-unsecured-credit-card","blog/tips/no-credit-history-unsecured-credit-card","Credit Cards","141990","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
